"Site","Age","Sex","Incidence","SE","LowerCI","UpperCI","Count","Population"
"Colorectal carcinoma (MSI-high, medullary subtype)","55-59 years","Female","0.066","0.008","0.051","0.084",67,101006062
"Colorectal carcinoma (MSI-high, medullary subtype)","60-64 years","Male and female","0.091","0.007","0.077","0.107",151,166118894
"Colorectal carcinoma (MSI-high, medullary subtype)","60-64 years","Male","0.058","0.008","0.042","0.077",46,79896239
"Colorectal carcinoma (MSI-high, medullary subtype)","60-64 years","Female","0.122","0.012","0.1","0.147",105,86222655
"Colorectal carcinoma (MSI-high, medullary subtype)","65-69 years","Male and female","0.157","0.011","0.136","0.18",208,132650888
"Colorectal carcinoma (MSI-high, medullary subtype)","65-69 years","Male","0.107","0.013","0.083","0.136",67,62386128
"Colorectal carcinoma (MSI-high, medullary subtype)","65-69 years","Female","0.201","0.017","0.169","0.237",141,70264760
"Colorectal carcinoma (MSI-high, medullary subtype)","70-74 years","Male and female","0.283","0.017","0.251","0.317",291,102989851
"Colorectal carcinoma (MSI-high, medullary subtype)","70-74 years","Male","0.173","0.019","0.137","0.215",81,46889081
"Colorectal carcinoma (MSI-high, medullary subtype)","70-74 years","Female","0.374","0.026","0.325","0.429",210,56100770
"Colorectal carcinoma (MSI-high, medullary subtype)","75-79 years","Male and female","0.458","0.024","0.411","0.508",353,77119602
"Colorectal carcinoma (MSI-high, medullary subtype)","75-79 years","Male","0.276","0.029","0.222","0.338",92,33384419
"Colorectal carcinoma (MSI-high, medullary subtype)","75-79 years","Female","0.597","0.037","0.527","0.674",261,43735183
"Colorectal carcinoma (MSI-high, medullary subtype)","80-84 years","Male and female","0.758","0.037","0.687","0.835",416,54854210
"Colorectal carcinoma (MSI-high, medullary subtype)","80-84 years","Male","0.464","0.046","0.378","0.563",102,21992919
"Colorectal carcinoma (MSI-high, medullary subtype)","80-84 years","Female","0.956","0.054","0.853","1.067",314,32861291
"Colorectal carcinoma (MSI-high, medullary subtype)","85-89 years","Male and female","0.947","0.054","0.845","1.058",313,33038957
"Colorectal carcinoma (MSI-high, medullary subtype)","85-89 years","Male","0.533","0.067","0.41","0.682",63,11810198
"Colorectal carcinoma (MSI-high, medullary subtype)","85-89 years","Female","1.178","0.074","1.036","1.333",250,21228759
"Colorectal carcinoma (MSI-high, medullary subtype)","90+ years","Male and female","0.849","0.066","0.724","0.989",165,19437568
"Colorectal carcinoma (MSI-high, medullary subtype)","90+ years","Male","0.587","0.102","0.404","0.825",33,5618381
"Colorectal carcinoma (MSI-high, medullary subtype)","90+ years","Female","0.955","0.083","0.799","1.133",132,13819187
"Colorectal carcinoma (MSI-high, medullary subtype)","Unknown","Male and female","~","~","~","~",0,0
"Colorectal carcinoma (MSI-high, medullary subtype)","Unknown","Male","~","~","~","~",0,0
"Colorectal carcinoma (MSI-high, medullary subtype)","Unknown","Female","~","~","~","~",0,0
"Gastric adenocarcinoma","00 years","Male and female","0.009","0.005","0.003","0.024",4,43061201
"Gastric adenocarcinoma","00 years","Male","0.009","0.006","0.001","0.033",2,22011981
"Gastric adenocarcinoma","00 years","Female","0.01","0.007","0.001","0.034",2,21049220
"Gastric adenocarcinoma","01-04 years","Male and female","0","~","0","0.002",0,172923682
"Gastric adenocarcinoma","01-04 years","Male","0","~","0","0.004",0,88392817
"Gastric adenocarcinoma","01-04 years","Female","0","~","0","0.004",0,84530865
"Gastric adenocarcinoma","05-09 years","Male and female","0","~","0","0.002",0,219155625
"Gastric adenocarcinoma","05-09 years","Male","0","~","0","0.003",0,112012583
"Gastric adenocarcinoma","05-09 years","Female","0","~","0","0.003",0,107143042
"Gastric adenocarcinoma","10-14 years","Male and female","0.007","0.002","0.004","0.011",16,228557404
"Gastric adenocarcinoma","10-14 years","Male","0.009","0.003","0.004","0.016",10,116939349
"Gastric adenocarcinoma","10-14 years","Female","0.005","0.002","0.002","0.012",6,111618055
"Gastric adenocarcinoma","15-19 years","Male and female","0.038","0.004","0.03","0.046",86,229160336
"Gastric adenocarcinoma","15-19 years","Male","0.031","0.005","0.022","0.043",37,117683875
"Gastric adenocarcinoma","15-19 years","Female","0.044","0.006","0.033","0.058",49,111476461
"Gastric adenocarcinoma","20-24 years","Male and female","0.147","0.008","0.132","0.164",338,229290703
"Gastric adenocarcinoma","20-24 years","Male","0.149","0.011","0.128","0.173",175,117600125
"Gastric adenocarcinoma","20-24 years","Female","0.146","0.011","0.124","0.17",163,111690578
"Gastric adenocarcinoma","25-29 years","Male and female","0.349","0.012","0.325","0.374",807,231301985
"Gastric adenocarcinoma","25-29 years","Male","0.366","0.018","0.332","0.402",429,117171061
"Gastric adenocarcinoma","25-29 years","Female","0.331","0.017","0.299","0.366",378,114130924
"Gastric adenocarcinoma","30-34 years","Male and female","0.758","0.018","0.723","0.795",1745,230073908
"Gastric adenocarcinoma","30-34 years","Male","0.796","0.026","0.746","0.849",923,115938128
"Gastric adenocarcinoma","30-34 years","Female","0.72","0.025","0.672","0.771",822,114135780
"Gastric adenocarcinoma","35-39 years","Male and female","1.349","0.024","1.301","1.397",3085,228762701
"Gastric adenocarcinoma","35-39 years","Male","1.46","0.036","1.391","1.532",1675,114709436
"Gastric adenocarcinoma","35-39 years","Female","1.236","0.033","1.173","1.303",1410,114053265
"Gastric adenocarcinoma","40-44 years","Male and female","2.239","0.031","2.178","2.301",5103,227960237
"Gastric adenocarcinoma","40-44 years","Male","2.59","0.048","2.497","2.685",2943,113631501
"Gastric adenocarcinoma","40-44 years","Female","1.889","0.041","1.81","1.971",2160,114328736
"Gastric adenocarcinoma","45-49 years","Male and female","3.664","0.04","3.585","3.744",8243,224982270
"Gastric adenocarcinoma","45-49 years","Male","4.6","0.064","4.475","4.728",5135,111622077
"Gastric adenocarcinoma","45-49 years","Female","2.742","0.049","2.646","2.84",3108,113360193
"Gastric adenocarcinoma","50-54 years","Male and female","5.689","0.051","5.589","5.79",12331,216770042
"Gastric adenocarcinoma","50-54 years","Male","7.583","0.084","7.419","7.75",8103,106853315
"Gastric adenocarcinoma","50-54 years","Female","3.847","0.059","3.731","3.964",4228,109916727
"Gastric adenocarcinoma","55-59 years","Male and female","8.424","0.065","8.297","8.553",16611,197177690
"Gastric adenocarcinoma","55-59 years","Male","11.917","0.111","11.7","12.137",11461,96171628
"Gastric adenocarcinoma","55-59 years","Female","5.099","0.071","4.96","5.24",5150,101006062
"Gastric adenocarcinoma","60-64 years","Male and female","12.445","0.087","12.276","12.616",20673,166118894
"Gastric adenocarcinoma","60-64 years","Male","18.155","0.151","17.861","18.453",14505,79896239
"Gastric adenocarcinoma","60-64 years","Female","7.154","0.091","6.976","7.334",6168,86222655
"Gastric adenocarcinoma","65-69 years","Male and female","17.97","0.116","17.742","18.199",23837,132650888
"Gastric adenocarcinoma","65-69 years","Male","26.522","0.206","26.119","26.929",16546,62386128
"Gastric adenocarcinoma","65-69 years","Female","10.376","0.122","10.14","10.617",7291,70264760
"Gastric adenocarcinoma","70-74 years","Male and female","24.722","0.155","24.419","25.027",25461,102989851
"Gastric adenocarcinoma","70-74 years","Male","36.303","0.278","35.759","36.852",17022,46889081
"Gastric adenocarcinoma","70-74 years","Female","15.043","0.164","14.723","15.367",8439,56100770
"Gastric adenocarcinoma","75-79 years","Male and female","31.884","0.203","31.487","32.285",24589,77119602
"Gastric adenocarcinoma","75-79 years","Male","47.411","0.377","46.676","48.156",15828,33384419
"Gastric adenocarcinoma","75-79 years","Female","20.032","0.214","19.615","20.456",8761,43735183
"Gastric adenocarcinoma","80-84 years","Male and female","37.705","0.262","37.193","38.223",20683,54854210
"Gastric adenocarcinoma","80-84 years","Male","55.763","0.504","54.781","56.759",12264,21992919
"Gastric adenocarcinoma","80-84 years","Female","25.62","0.279","25.075","26.173",8419,32861291
"Gastric adenocarcinoma","85-89 years","Male and female","41.587","0.355","40.895","42.289",13740,33038957
"Gastric adenocarcinoma","85-89 years","Male","62.539","0.728","61.121","63.982",7386,11810198
"Gastric adenocarcinoma","85-89 years","Female","29.931","0.375","29.2","30.676",6354,21228759
"Gastric adenocarcinoma","90+ years","Male and female","35.756","0.429","34.92","36.606",6950,19437568
"Gastric adenocarcinoma","90+ years","Male","55.212","0.991","53.286","57.189",3102,5618381
"Gastric adenocarcinoma","90+ years","Female","27.845","0.449","26.972","28.739",3848,13819187
"Gastric adenocarcinoma","Unknown","Male and female","~","~","~","~",0,0
"Gastric adenocarcinoma","Unknown","Male","~","~","~","~",0,0
"Gastric adenocarcinoma","Unknown","Female","~","~","~","~",0,0
"Pancreatic adenocarcinoma","00 years","Male and female","0","~","0","0.009",0,43061201
"Pancreatic adenocarcinoma","00 years","Male","0","~","0","0.017",0,22011981
"Pancreatic adenocarcinoma","00 years","Female","0","~","0","0.018",0,21049220
"Pancreatic adenocarcinoma","01-04 years","Male and female","0","~","0","0.002",0,172923682
"Pancreatic adenocarcinoma","01-04 years","Male","0","~","0","0.004",0,88392817
"Pancreatic adenocarcinoma","01-04 years","Female","0","~","0","0.004",0,84530865
"Pancreatic adenocarcinoma","05-09 years","Male and female","0.001","0.001","0","0.003",2,219155625
"Pancreatic adenocarcinoma","05-09 years","Male","0.001","0.001","0","0.005",1,112012583
"Pancreatic adenocarcinoma","05-09 years","Female","0.001","0.001","0","0.005",1,107143042
"Pancreatic adenocarcinoma","10-14 years","Male and female","0.001","0.001","0","0.003",2,228557404
"Pancreatic adenocarcinoma","10-14 years","Male","0.001","0.001","0","0.005",1,116939349
"Pancreatic adenocarcinoma","10-14 years","Female","0.001","0.001","0","0.005",1,111618055
"Pancreatic adenocarcinoma","15-19 years","Male and female","0.006","0.002","0.003","0.01",13,229160336
"Pancreatic adenocarcinoma","15-19 years","Male","0.006","0.002","0.002","0.012",7,117683875
"Pancreatic adenocarcinoma","15-19 years","Female","0.005","0.002","0.002","0.012",6,111476461
"Pancreatic adenocarcinoma","20-24 years","Male and female","0.02","0.003","0.015","0.027",47,229290703
"Pancreatic adenocarcinoma","20-24 years","Male","0.024","0.004","0.016","0.034",28,117600125
"Pancreatic adenocarcinoma","20-24 years","Female","0.017","0.004","0.01","0.027",19,111690578
"Pancreatic adenocarcinoma","25-29 years","Male and female","0.054","0.005","0.045","0.064",125,231301985
"Pancreatic adenocarcinoma","25-29 years","Male","0.06","0.007","0.047","0.075",70,117171061
"Pancreatic adenocarcinoma","25-29 years","Female","0.048","0.006","0.036","0.063",55,114130924
"Pancreatic adenocarcinoma","30-34 years","Male and female","0.211","0.01","0.192","0.23",485,230073908
"Pancreatic adenocarcinoma","30-34 years","Male","0.223","0.014","0.196","0.251",258,115938128
"Pancreatic adenocarcinoma","30-34 years","Female","0.199","0.013","0.174","0.227",227,114135780
"Pancreatic adenocarcinoma","35-39 years","Male and female","0.62","0.016","0.588","0.653",1419,228762701
"Pancreatic adenocarcinoma","35-39 years","Male","0.746","0.026","0.697","0.798",856,114709436
"Pancreatic adenocarcinoma","35-39 years","Female","0.494","0.021","0.454","0.536",563,114053265
"Pancreatic adenocarcinoma","40-44 years","Male and female","1.716","0.027","1.662","1.77",3911,227960237
"Pancreatic adenocarcinoma","40-44 years","Male","1.963","0.042","1.883","2.047",2231,113631501
"Pancreatic adenocarcinoma","40-44 years","Female","1.469","0.036","1.4","1.541",1680,114328736
"Pancreatic adenocarcinoma","45-49 years","Male and female","3.982","0.042","3.9","4.065",8959,224982270
"Pancreatic adenocarcinoma","45-49 years","Male","4.68","0.065","4.554","4.809",5224,111622077
"Pancreatic adenocarcinoma","45-49 years","Female","3.295","0.054","3.19","3.402",3735,113360193
"Pancreatic adenocarcinoma","50-54 years","Male and female","8.167","0.061","8.047","8.288",17704,216770042
"Pancreatic adenocarcinoma","50-54 years","Male","9.628","0.095","9.443","9.816",10288,106853315
"Pancreatic adenocarcinoma","50-54 years","Female","6.747","0.078","6.594","6.902",7416,109916727
"Pancreatic adenocarcinoma","55-59 years","Male and female","14.935","0.087","14.765","15.107",29449,197177690
"Pancreatic adenocarcinoma","55-59 years","Male","17.494","0.135","17.23","17.76",16824,96171628
"Pancreatic adenocarcinoma","55-59 years","Female","12.499","0.111","12.282","12.719",12625,101006062
"Pancreatic adenocarcinoma","60-64 years","Male and female","24.037","0.12","23.802","24.274",39930,166118894
"Pancreatic adenocarcinoma","60-64 years","Male","27.901","0.187","27.536","28.27",22292,79896239
"Pancreatic adenocarcinoma","60-64 years","Female","20.456","0.154","20.156","20.76",17638,86222655
"Pancreatic adenocarcinoma","65-69 years","Male and female","35.672","0.164","35.351","35.995",47319,132650888
"Pancreatic adenocarcinoma","65-69 years","Male","40.679","0.255","40.18","41.183",25378,62386128
"Pancreatic adenocarcinoma","65-69 years","Female","31.226","0.211","30.814","31.642",21941,70264760
"Pancreatic adenocarcinoma","70-74 years","Male and female","47.469","0.215","47.049","47.891",48888,102989851
"Pancreatic adenocarcinoma","70-74 years","Male","53.59","0.338","52.93","54.257",25128,46889081
"Pancreatic adenocarcinoma","70-74 years","Female","42.352","0.275","41.816","42.894",23760,56100770
"Pancreatic adenocarcinoma","75-79 years","Male and female","57.745","0.274","57.21","58.284",44533,77119602
"Pancreatic adenocarcinoma","75-79 years","Male","64.015","0.438","63.159","64.879",21371,33384419
"Pancreatic adenocarcinoma","75-79 years","Female","52.96","0.348","52.28","53.646",23162,43735183
"Pancreatic adenocarcinoma","80-84 years","Male and female","61.047","0.334","60.395","61.705",33487,54854210
"Pancreatic adenocarcinoma","80-84 years","Male","68.608","0.559","67.518","69.712",15089,21992919
"Pancreatic adenocarcinoma","80-84 years","Female","55.987","0.413","55.181","56.802",18398,32861291
"Pancreatic adenocarcinoma","85-89 years","Male and female","54.415","0.406","53.622","55.216",17978,33038957
"Pancreatic adenocarcinoma","85-89 years","Male","62.302","0.726","60.887","63.742",7358,11810198
"Pancreatic adenocarcinoma","85-89 years","Female","50.026","0.485","49.079","50.987",10620,21228759
"Pancreatic adenocarcinoma","90+ years","Male and female","33.075","0.413","32.272","33.894",6429,19437568
"Pancreatic adenocarcinoma","90+ years","Male","40.385","0.848","38.741","42.082",2269,5618381
"Pancreatic adenocarcinoma","90+ years","Female","30.103","0.467","29.195","31.032",4160,13819187
"Pancreatic adenocarcinoma","Unknown","Male and female","~","~","~","~",0,0
"Pancreatic adenocarcinoma","Unknown","Male","~","~","~","~",0,0
"Pancreatic adenocarcinoma","Unknown","Female","~","~","~","~",0,0
"Kidney clear cell carcinoma","00 years","Male and female","0.005","0.003","0.001","0.017",2,43061201
"Kidney clear cell carcinoma","00 years","Male","0.009","0.006","0.001","0.033",2,22011981
"Kidney clear cell carcinoma","00 years","Female","0","~","0","0.018",0,21049220
"Kidney clear cell carcinoma","01-04 years","Male and female","0.008","0.002","0.004","0.013",13,172923682
"Kidney clear cell carcinoma","01-04 years","Male","0.01","0.003","0.005","0.019",9,88392817
"Kidney clear cell carcinoma","01-04 years","Female","0.005","0.002","0.001","0.012",4,84530865
"Kidney clear cell carcinoma","05-09 years","Male and female","0.018","0.003","0.013","0.025",40,219155625
"Kidney clear cell carcinoma","05-09 years","Male","0.014","0.004","0.008","0.023",16,112012583
"Kidney clear cell carcinoma","05-09 years","Female","0.022","0.005","0.014","0.033",24,107143042
"Kidney clear cell carcinoma","10-14 years","Male and female","0.039","0.004","0.031","0.048",89,228557404
"Kidney clear cell carcinoma","10-14 years","Male","0.036","0.006","0.026","0.049",42,116939349
"Kidney clear cell carcinoma","10-14 years","Female","0.042","0.006","0.031","0.056",47,111618055
"Kidney clear cell carcinoma","15-19 years","Male and female","0.102","0.007","0.089","0.116",233,229160336
"Kidney clear cell carcinoma","15-19 years","Male","0.101","0.009","0.084","0.121",119,117683875
"Kidney clear cell carcinoma","15-19 years","Female","0.102","0.01","0.084","0.123",114,111476461
"Kidney clear cell carcinoma","20-24 years","Male and female","0.296","0.011","0.274","0.319",679,229290703
"Kidney clear cell carcinoma","20-24 years","Male","0.281","0.015","0.252","0.313",331,117600125
"Kidney clear cell carcinoma","20-24 years","Female","0.312","0.017","0.28","0.346",348,111690578
"Kidney clear cell carcinoma","25-29 years","Male and female","0.817","0.019","0.781","0.855",1890,231301985
"Kidney clear cell carcinoma","25-29 years","Male","0.893","0.028","0.839","0.948",1046,117171061
"Kidney clear cell carcinoma","25-29 years","Female","0.74","0.025","0.69","0.791",844,114130924
"Kidney clear cell carcinoma","30-34 years","Male and female","1.986","0.029","1.929","2.045",4570,230073908
"Kidney clear cell carcinoma","30-34 years","Male","2.262","0.044","2.177","2.351",2623,115938128
"Kidney clear cell carcinoma","30-34 years","Female","1.706","0.039","1.631","1.783",1947,114135780
"Kidney clear cell carcinoma","35-39 years","Male and female","4.062","0.042","3.98","4.146",9293,228762701
"Kidney clear cell carcinoma","35-39 years","Male","4.993","0.066","4.864","5.124",5727,114709436
"Kidney clear cell carcinoma","35-39 years","Female","3.127","0.052","3.025","3.231",3566,114053265
"Kidney clear cell carcinoma","40-44 years","Male and female","7.387","0.057","7.276","7.499",16839,227960237
"Kidney clear cell carcinoma","40-44 years","Male","9.398","0.091","9.221","9.578",10679,113631501
"Kidney clear cell carcinoma","40-44 years","Female","5.388","0.069","5.254","5.524",6160,114328736
"Kidney clear cell carcinoma","45-49 years","Male and female","12.04","0.073","11.897","12.184",27088,224982270
"Kidney clear cell carcinoma","45-49 years","Male","15.664","0.118","15.432","15.897",17484,111622077
"Kidney clear cell carcinoma","45-49 years","Female","8.472","0.086","8.304","8.643",9604,113360193
"Kidney clear cell carcinoma","50-54 years","Male and female","18.063","0.091","17.884","18.243",39155,216770042
"Kidney clear cell carcinoma","50-54 years","Male","23.794","0.149","23.503","24.089",25425,106853315
"Kidney clear cell carcinoma","50-54 years","Female","12.491","0.107","12.283","12.702",13730,109916727
"Kidney clear cell carcinoma","55-59 years","Male and female","25.65","0.114","25.427","25.875",50577,197177690
"Kidney clear cell carcinoma","55-59 years","Male","34.132","0.188","33.763","34.503",32825,96171628
"Kidney clear cell carcinoma","55-59 years","Female","17.575","0.132","17.318","17.836",17752,101006062
"Kidney clear cell carcinoma","60-64 years","Male and female","34.473","0.144","34.191","34.756",57266,166118894
"Kidney clear cell carcinoma","60-64 years","Male","46.503","0.241","46.031","46.978",37154,79896239
"Kidney clear cell carcinoma","60-64 years","Female","23.326","0.164","23.004","23.65",20112,86222655
"Kidney clear cell carcinoma","65-69 years","Male and female","45.042","0.184","44.681","45.404",59748,132650888
"Kidney clear cell carcinoma","65-69 years","Male","60.816","0.312","60.206","61.431",37941,62386128
"Kidney clear cell carcinoma","65-69 years","Female","31.035","0.21","30.625","31.45",21807,70264760
"Kidney clear cell carcinoma","70-74 years","Male and female","49.654","0.22","49.225","50.087",51139,102989851
"Kidney clear cell carcinoma","70-74 years","Male","67.835","0.38","67.091","68.584",31807,46889081
"Kidney clear cell carcinoma","70-74 years","Female","34.459","0.248","33.975","34.949",19332,56100770
"Kidney clear cell carcinoma","75-79 years","Male and female","51.123","0.257","50.62","51.63",39426,77119602
"Kidney clear cell carcinoma","75-79 years","Male","71.3","0.462","70.397","72.211",23803,33384419
"Kidney clear cell carcinoma","75-79 years","Female","35.722","0.286","35.164","36.286",15623,43735183
"Kidney clear cell carcinoma","80-84 years","Male and female","46.173","0.29","45.606","46.746",25328,54854210
"Kidney clear cell carcinoma","80-84 years","Male","66.512","0.55","65.439","67.599",14628,21992919
"Kidney clear cell carcinoma","80-84 years","Female","32.561","0.315","31.947","33.184",10700,32861291
"Kidney clear cell carcinoma","85-89 years","Male and female","39.768","0.347","39.091","40.454",13139,33038957
"Kidney clear cell carcinoma","85-89 years","Male","58.839","0.706","57.464","60.239",6949,11810198
"Kidney clear cell carcinoma","85-89 years","Female","29.159","0.371","28.437","29.894",6190,21228759
"Kidney clear cell carcinoma","90+ years","Male and female","28.748","0.385","28","29.512",5588,19437568
"Kidney clear cell carcinoma","90+ years","Male","46.775","0.912","45.004","48.598",2628,5618381
"Kidney clear cell carcinoma","90+ years","Female","21.419","0.394","20.655","22.205",2960,13819187
"Kidney clear cell carcinoma","Unknown","Male and female","~","~","~","~",0,0
"Kidney clear cell carcinoma","Unknown","Male","~","~","~","~",0,0
"Kidney clear cell carcinoma","Unknown","Female","~","~","~","~",0,0
"Kidney papillary carcinoma","00 years","Male and female","0","~","0","0.009",0,43061201
"Kidney papillary carcinoma","00 years","Male","0","~","0","0.017",0,22011981
"Kidney papillary carcinoma","00 years","Female","0","~","0","0.018",0,21049220
"Kidney papillary carcinoma","01-04 years","Male and female","0.001","0.001","0","0.003",1,172923682
"Kidney papillary carcinoma","01-04 years","Male","0.001","0.001","0","0.006",1,88392817
"Kidney papillary carcinoma","01-04 years","Female","0","~","0","0.004",0,84530865
"Kidney papillary carcinoma","05-09 years","Male and female","0.004","0.001","0.002","0.007",8,219155625
"Kidney papillary carcinoma","05-09 years","Male","0.005","0.002","0.002","0.012",6,112012583
"Kidney papillary carcinoma","05-09 years","Female","0.002","0.001","0","0.007",2,107143042
"Kidney papillary carcinoma","10-14 years","Male and female","0.008","0.002","0.005","0.013",19,228557404
"Kidney papillary carcinoma","10-14 years","Male","0.01","0.003","0.005","0.018",12,116939349
"Kidney papillary carcinoma","10-14 years","Female","0.006","0.002","0.003","0.013",7,111618055
"Kidney papillary carcinoma","15-19 years","Male and female","0.019","0.003","0.014","0.026",44,229160336
"Kidney papillary carcinoma","15-19 years","Male","0.017","0.004","0.01","0.026",20,117683875
"Kidney papillary carcinoma","15-19 years","Female","0.022","0.004","0.014","0.032",24,111476461
"Kidney papillary carcinoma","20-24 years","Male and female","0.035","0.004","0.028","0.044",81,229290703
"Kidney papillary carcinoma","20-24 years","Male","0.04","0.006","0.029","0.053",47,117600125
"Kidney papillary carcinoma","20-24 years","Female","0.03","0.005","0.021","0.043",34,111690578
"Kidney papillary carcinoma","25-29 years","Male and female","0.083","0.006","0.072","0.096",193,231301985
"Kidney papillary carcinoma","25-29 years","Male","0.092","0.009","0.076","0.111",108,117171061
"Kidney papillary carcinoma","25-29 years","Female","0.074","0.008","0.059","0.092",85,114130924
"Kidney papillary carcinoma","30-34 years","Male and female","0.184","0.009","0.167","0.202",423,230073908
"Kidney papillary carcinoma","30-34 years","Male","0.252","0.015","0.224","0.282",292,115938128
"Kidney papillary carcinoma","30-34 years","Female","0.115","0.01","0.096","0.136",131,114135780
"Kidney papillary carcinoma","35-39 years","Male and female","0.398","0.013","0.373","0.425",911,228762701
"Kidney papillary carcinoma","35-39 years","Male","0.588","0.023","0.545","0.635",675,114709436
"Kidney papillary carcinoma","35-39 years","Female","0.207","0.013","0.181","0.235",236,114053265
"Kidney papillary carcinoma","40-44 years","Male and female","0.77","0.018","0.734","0.807",1755,227960237
"Kidney papillary carcinoma","40-44 years","Male","1.194","0.032","1.132","1.259",1357,113631501
"Kidney papillary carcinoma","40-44 years","Female","0.348","0.017","0.315","0.384",398,114328736
"Kidney papillary carcinoma","45-49 years","Male and female","1.4","0.025","1.351","1.449",3149,224982270
"Kidney papillary carcinoma","45-49 years","Male","2.185","0.044","2.099","2.274",2439,111622077
"Kidney papillary carcinoma","45-49 years","Female","0.626","0.024","0.581","0.674",710,113360193
"Kidney papillary carcinoma","50-54 years","Male and female","2.287","0.032","2.224","2.351",4957,216770042
"Kidney papillary carcinoma","50-54 years","Male","3.707","0.059","3.592","3.824",3961,106853315
"Kidney papillary carcinoma","50-54 years","Female","0.906","0.029","0.851","0.964",996,109916727
"Kidney papillary carcinoma","55-59 years","Male and female","3.662","0.043","3.578","3.748",7221,197177690
"Kidney papillary carcinoma","55-59 years","Male","5.943","0.079","5.789","6.099",5715,96171628
"Kidney papillary carcinoma","55-59 years","Female","1.491","0.038","1.417","1.568",1506,101006062
"Kidney papillary carcinoma","60-64 years","Male and female","5.119","0.056","5.01","5.229",8503,166118894
"Kidney papillary carcinoma","60-64 years","Male","8.337","0.102","8.138","8.54",6661,79896239
"Kidney papillary carcinoma","60-64 years","Female","2.136","0.05","2.04","2.236",1842,86222655
"Kidney papillary carcinoma","65-69 years","Male and female","6.855","0.072","6.715","6.997",9093,132650888
"Kidney papillary carcinoma","65-69 years","Male","11.224","0.134","10.962","11.49",7002,62386128
"Kidney papillary carcinoma","65-69 years","Female","2.976","0.065","2.85","3.106",2091,70264760
"Kidney papillary carcinoma","70-74 years","Male and female","7.388","0.085","7.223","7.556",7609,102989851
"Kidney papillary carcinoma","70-74 years","Male","12.304","0.162","11.988","12.625",5769,46889081
"Kidney papillary carcinoma","70-74 years","Female","3.28","0.076","3.132","3.433",1840,56100770
"Kidney papillary carcinoma","75-79 years","Male and female","6.841","0.094","6.658","7.028",5276,77119602
"Kidney papillary carcinoma","75-79 years","Male","11.628","0.187","11.265","12",3882,33384419
"Kidney papillary carcinoma","75-79 years","Female","3.187","0.085","3.022","3.359",1394,43735183
"Kidney papillary carcinoma","80-84 years","Male and female","4.86","0.094","4.677","5.048",2666,54854210
"Kidney papillary carcinoma","80-84 years","Male","8.562","0.197","8.179","8.957",1883,21992919
"Kidney papillary carcinoma","80-84 years","Female","2.383","0.085","2.219","2.556",783,32861291
"Kidney papillary carcinoma","85-89 years","Male and female","2.757","0.091","2.581","2.942",911,33038957
"Kidney papillary carcinoma","85-89 years","Male","5.097","0.208","4.698","5.521",602,11810198
"Kidney papillary carcinoma","85-89 years","Female","1.456","0.083","1.298","1.627",309,21228759
"Kidney papillary carcinoma","90+ years","Male and female","0.952","0.07","0.82","1.099",185,19437568
"Kidney papillary carcinoma","90+ years","Male","1.993","0.188","1.641","2.399",112,5618381
"Kidney papillary carcinoma","90+ years","Female","0.528","0.062","0.414","0.664",73,13819187
"Kidney papillary carcinoma","Unknown","Male and female","~","~","~","~",0,0
"Kidney papillary carcinoma","Unknown","Male","~","~","~","~",0,0
"Kidney papillary carcinoma","Unknown","Female","~","~","~","~",0,0
"Kidney chromophobe carcinoma","00 years","Male and female","0","~","0","0.009",0,43061201
"Kidney chromophobe carcinoma","00 years","Male","0","~","0","0.017",0,22011981
"Kidney chromophobe carcinoma","00 years","Female","0","~","0","0.018",0,21049220
"Kidney chromophobe carcinoma","01-04 years","Male and female","0","~","0","0.002",0,172923682
"Kidney chromophobe carcinoma","01-04 years","Male","0","~","0","0.004",0,88392817
"Kidney chromophobe carcinoma","01-04 years","Female","0","~","0","0.004",0,84530865
"Kidney chromophobe carcinoma","05-09 years","Male and female","0.002","0.001","0","0.005",4,219155625
"Kidney chromophobe carcinoma","05-09 years","Male","0.001","0.001","0","0.005",1,112012583
"Kidney chromophobe carcinoma","05-09 years","Female","0.003","0.002","0.001","0.008",3,107143042
"Kidney chromophobe carcinoma","10-14 years","Male and female","0.003","0.001","0.001","0.006",7,228557404
"Kidney chromophobe carcinoma","10-14 years","Male","0.004","0.002","0.001","0.01",5,116939349
"Kidney chromophobe carcinoma","10-14 years","Female","0.002","0.001","0","0.006",2,111618055
"Kidney chromophobe carcinoma","15-19 years","Male and female","0.015","0.003","0.01","0.021",34,229160336
"Kidney chromophobe carcinoma","15-19 years","Male","0.008","0.003","0.004","0.016",10,117683875
"Kidney chromophobe carcinoma","15-19 years","Female","0.022","0.004","0.014","0.032",24,111476461
"Kidney chromophobe carcinoma","20-24 years","Male and female","0.041","0.004","0.033","0.05",94,229290703
"Kidney chromophobe carcinoma","20-24 years","Male","0.026","0.005","0.018","0.037",31,117600125
"Kidney chromophobe carcinoma","20-24 years","Female","0.056","0.007","0.043","0.072",63,111690578
"Kidney chromophobe carcinoma","25-29 years","Male and female","0.124","0.007","0.11","0.139",287,231301985
"Kidney chromophobe carcinoma","25-29 years","Male","0.092","0.009","0.076","0.111",108,117171061
"Kidney chromophobe carcinoma","25-29 years","Female","0.157","0.012","0.135","0.182",179,114130924
"Kidney chromophobe carcinoma","30-34 years","Male and female","0.252","0.01","0.232","0.273",580,230073908
