"Site","Age","Sex","Incidence","SE","LowerCI","UpperCI","Count","Population"
"Lung squamous cell carcinoma","30-34 years","Female","0.06","0.007","0.046","0.076",68,114135780
"Lung squamous cell carcinoma","35-39 years","Male and female","0.217","0.01","0.198","0.237",496,228762701
"Lung squamous cell carcinoma","35-39 years","Male","0.262","0.015","0.234","0.294",301,114709436
"Lung squamous cell carcinoma","35-39 years","Female","0.171","0.012","0.148","0.197",195,114053265
"Lung squamous cell carcinoma","40-44 years","Male and female","0.9","0.02","0.861","0.94",2051,227960237
"Lung squamous cell carcinoma","40-44 years","Male","1.167","0.032","1.105","1.231",1326,113631501
"Lung squamous cell carcinoma","40-44 years","Female","0.634","0.024","0.589","0.682",725,114328736
"Lung squamous cell carcinoma","45-49 years","Male and female","2.656","0.034","2.589","2.724",5976,224982270
"Lung squamous cell carcinoma","45-49 years","Male","3.56","0.056","3.45","3.673",3974,111622077
"Lung squamous cell carcinoma","45-49 years","Female","1.766","0.039","1.69","1.845",2002,113360193
"Lung squamous cell carcinoma","50-54 years","Male and female","6.717","0.056","6.609","6.827",14561,216770042
"Lung squamous cell carcinoma","50-54 years","Male","9.245","0.093","9.064","9.43",9879,106853315
"Lung squamous cell carcinoma","50-54 years","Female","4.26","0.062","4.138","4.383",4682,109916727
"Lung squamous cell carcinoma","55-59 years","Male and female","14.93","0.087","14.76","15.102",29439,197177690
"Lung squamous cell carcinoma","55-59 years","Male","20.692","0.147","20.406","20.982",19900,96171628
"Lung squamous cell carcinoma","55-59 years","Female","9.444","0.097","9.255","9.635",9539,101006062
"Lung squamous cell carcinoma","60-64 years","Male and female","29.338","0.133","29.078","29.6",48736,166118894
"Lung squamous cell carcinoma","60-64 years","Male","40.278","0.225","39.84","40.721",32181,79896239
"Lung squamous cell carcinoma","60-64 years","Female","19.2","0.149","18.909","19.495",16555,86222655
"Lung squamous cell carcinoma","65-69 years","Male and female","51.236","0.197","50.852","51.623",67965,132650888
"Lung squamous cell carcinoma","65-69 years","Male","69.677","0.334","69.024","70.335",43469,62386128
"Lung squamous cell carcinoma","65-69 years","Female","34.862","0.223","34.427","35.302",24496,70264760
"Lung squamous cell carcinoma","70-74 years","Male and female","74.27","0.269","73.745","74.799",76491,102989851
"Lung squamous cell carcinoma","70-74 years","Male","100.68","0.463","99.774","101.593",47208,46889081
"Lung squamous cell carcinoma","70-74 years","Female","52.197","0.305","51.601","52.798",29283,56100770
"Lung squamous cell carcinoma","75-79 years","Male and female","90.269","0.342","89.6","90.942",69615,77119602
"Lung squamous cell carcinoma","75-79 years","Male","126.245","0.615","125.042","127.456",42146,33384419
"Lung squamous cell carcinoma","75-79 years","Female","62.808","0.379","62.067","63.555",27469,43735183
"Lung squamous cell carcinoma","80-84 years","Male and female","82.796","0.389","82.036","83.561",45417,54854210
